channel,config_name,fold,n_samples,yaw_exact_acc,pitch_exact_acc,yaw_circular_mae_deg,pitch_mae_deg,yaw_within_1_bins_rate,pitch_within_1_bins_rate,yaw_within_2_bins_rate,pitch_within_2_bins_rate,yaw_within_3_bins_rate,pitch_within_3_bins_rate,yaw_within_6_bins_rate,pitch_within_6_bins_rate,yaw_coarse_30deg_acc,yaw_coarse_45deg_acc,pitch_coarse_30deg_acc,pitch_coarse_45deg_acc,yaw_cmae_min,yaw_cmae_p25,yaw_cmae_median,yaw_cmae_p75,yaw_cmae_p90,yaw_cmae_max,yaw_cmae_mean,yaw_cmae_std
C2,M4_log_density_ratio_9d,1,555,0.0,0.06306306306306306,116.2972972972973,60.549549549549546,0.06126126126126126,0.12972972972972974,0.0936936936936937,0.1945945945945946,0.1063063063063063,0.23423423423423423,0.12612612612612611,0.31891891891891894,0.0,0.11891891891891893,0.17477477477477477,0.22522522522522523,5.0,60.0,125.0,175.0,180.0,180.0,116.29729729729729,62.07037485094511
C2,M4_log_density_ratio_9d,2,518,0.0,0.03088803088803089,131.34169884169884,80.12548262548263,0.06177606177606178,0.08301158301158301,0.08301158301158301,0.13706563706563707,0.11776061776061776,0.1891891891891892,0.14285714285714285,0.3088803088803089,0.08301158301158301,0.14285714285714285,0.1969111969111969,0.23745173745173745,5.0,75.0,170.0,175.0,180.0,180.0,131.34169884169884,62.96092615739195
C2,M4_log_density_ratio_9d,3,518,0.0,0.052123552123552123,78.13706563706563,63.07915057915058,0.06756756756756757,0.10617760617760617,0.13706563706563707,0.14478764478764478,0.20463320463320464,0.17374517374517376,0.3127413127413127,0.28957528957528955,0.2625482625482625,0.2625482625482625,0.15444015444015444,0.18725868725868725,5.0,20.0,90.0,105.0,160.0,180.0,78.13706563706563,49.623627225690605
C2,M4_log_density_ratio_9d,4,518,0.0,0.032818532818532815,158.7162162162162,67.07528957528957,0.04054054054054054,0.0888030888030888,0.06177606177606178,0.1525096525096525,0.0637065637065637,0.20270270270270271,0.0637065637065637,0.3552123552123552,0.0,0.0,0.1776061776061776,0.25675675675675674,5.0,165.0,175.0,180.0,180.0,180.0,158.71621621621622,42.13238200579463
C2,M5_pixelfrac_only_4d,0,555,0.0,0.032432432432432434,62.54054054054053,61.44144144144144,0.06306306306306306,0.1009009009009009,0.12252252252252252,0.16216216216216217,0.1783783783783784,0.21441441441441442,0.3063063063063063,0.36036036036036034,0.2,0.390990990990991,0.1927927927927928,0.24324324324324326,5.0,25.0,65.0,90.0,100.0,180.0,62.54054054054054,43.805833620275685
C2,M5_pixelfrac_only_4d,1,555,0.0,0.01981981981981982,137.8918918918919,77.43243243243244,0.018018018018018018,0.05405405405405406,0.025225225225225224,0.0936936936936937,0.032432432432432434,0.13153153153153152,0.03423423423423423,0.25225225225225223,0.0,0.032432432432432434,0.11891891891891893,0.16936936936936936,5.0,120.0,160.0,175.0,180.0,180.0,137.8918918918919,47.95894478310624
C2,M5_pixelfrac_only_4d,2,518,0.0,0.02895752895752896,97.88610038610038,62.41312741312741,0.07142857142857142,0.08494208494208494,0.14285714285714285,0.1274131274131274,0.21428571428571427,0.1718146718146718,0.42857142857142855,0.31467181467181465,0.14285714285714285,0.5,0.11776061776061776,0.16602316602316602,5.0,20.0,100.0,175.0,180.0,180.0,97.88610038610038,78.24832118448737
C2,M5_pixelfrac_only_4d,3,518,0.0,0.025096525096525095,37.5,71.58301158301158,0.07142857142857142,0.07915057915057915,0.14285714285714285,0.13127413127413126,0.21428571428571427,0.18532818532818532,0.42857142857142855,0.2915057915057915,0.2857142857142857,0.2857142857142857,0.1718146718146718,0.22586872586872586,5.0,20.0,37.5,55.0,65.0,70.0,37.5,20.155644370746373
C2,M5_pixelfrac_only_4d,4,518,0.0,0.023166023166023165,142.95366795366795,72.8861003861004,0.06563706563706563,0.05791505791505792,0.1274131274131274,0.0945945945945946,0.138996138996139,0.13706563706563707,0.14285714285714285,0.2644787644787645,0.0,0.0,0.08687258687258688,0.1274131274131274,5.0,125.0,175.0,180.0,180.0,180.0,142.95366795366795,59.215118726334694
C2,M6_all_nongeo_13d,0,555,0.0,0.043243243243243246,74.21621621621622,57.531531531531535,0.06306306306306306,0.12612612612612611,0.11711711711711711,0.21081081081081082,0.14054054054054055,0.2810810810810811,0.26846846846846845,0.44324324324324327,0.14054054054054055,0.26846846846846845,0.21981981981981982,0.31351351351351353,5.0,30.0,75.0,110.0,120.0,180.0,74.21621621621621,47.21112355668717
