geom_id,sun_offset,view_offset,pose_id,role,group,label,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,near_specular_metal,strong_surface_highlight,dark_panel_increment
Hsm_vm,-7,-7,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.20011107,jinshuzhuti,95.04,4.198,0.198,0.330,82.19,8.2180e-01,1,1,1
Hsm_vm,-7,-7,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.19216267,jinshuzhuti,94.85,4.391,1.699,3.016,81.24,7.8480e-01,1,1,1
Hsm_vm,-7,-7,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.19475533,jinshuzhuti,94.86,4.330,1.013,1.730,80.74,7.9625e-01,1,1,1
Hsm_vm,-7,-7,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.18194022,jinshuzhuti,94.62,4.587,2.878,5.060,81.42,7.3909e-01,0,1,1
Hsm_vm,-7,-7,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.18153312,jinshuzhuti,94.60,4.593,2.798,5.394,81.15,7.3449e-01,0,1,1
Hsm_vm,-7,-7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.19121064,jinshuzhuti,98.74,0.476,0.783,1.474,84.05,8.3788e-01,1,1,0
Hsm_vm,-7,-7,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.18605108,jinshuzhuti,98.47,0.496,0.844,1.596,87.24,8.7087e-01,1,1,0
Hsm_vm,-7,-7,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.19481207,jinshuzhuti,94.85,4.312,1.301,2.397,81.83,8.0001e-01,1,1,1
Hsm_vm,-7,-7,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.17992038,jinshuzhuti,94.54,4.627,2.976,5.838,81.04,7.2487e-01,0,1,1
Hsm_vm,-7,-7,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.18480679,jinshuzhuti,94.62,4.554,1.788,2.988,82.92,7.9853e-01,1,1,1
