region,category,yaw,pitch,roll,label,camera_exr_exists,sun_exr_exists,source,source_seed
R3_low_info,low-info/ocs-hard,70,75,-30,yaw070_pitch+075_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,75,-15,yaw070_pitch+075_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,75,15,yaw070_pitch+075_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,75,30,yaw070_pitch+075_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,75,45,yaw070_pitch+075_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,75,60,yaw070_pitch+075_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,-60,yaw070_pitch+080_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,-45,yaw070_pitch+080_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,-30,yaw070_pitch+080_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,-15,yaw070_pitch+080_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,15,yaw070_pitch+080_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,30,yaw070_pitch+080_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,45,yaw070_pitch+080_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,80,60,yaw070_pitch+080_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,-60,yaw075_pitch+060_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,-45,yaw075_pitch+060_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,-30,yaw075_pitch+060_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,-15,yaw075_pitch+060_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,15,yaw075_pitch+060_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,30,yaw075_pitch+060_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,45,yaw075_pitch+060_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,60,60,yaw075_pitch+060_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,-60,yaw075_pitch+065_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,-45,yaw075_pitch+065_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,-30,yaw075_pitch+065_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,-15,yaw075_pitch+065_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,15,yaw075_pitch+065_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,30,yaw075_pitch+065_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,45,yaw075_pitch+065_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,65,60,yaw075_pitch+065_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,75,70,-60,yaw075_pitch+070_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
