method,degrade_level,geom,mode,select,alpha,q_deg,val_n,test_n,coverage,target,set_size_deg
neural,degraded-moderate,G1,joint,final,0.05,5.2119,259,296,0.9561,0.95,10.4238
neural,degraded-moderate,G1,joint,final,0.1,4.0865,259,296,0.9122,0.9,8.1729
neural,degraded-moderate,G1,joint,final,0.2,3.2153,259,296,0.8176,0.8,6.4307
neural,degraded-moderate,G3,ocs_only,best,0.05,174.157,259,296,0.9764,0.95,348.3141
neural,degraded-moderate,G3,ocs_only,best,0.1,162.8974,259,296,0.9392,0.9,325.7947
neural,degraded-moderate,G3,ocs_only,best,0.2,100.8197,259,296,0.7939,0.8,201.6394
neural,degraded-moderate,G3,ocs_only,final,0.05,174.6604,259,296,0.9764,0.95,349.3209
neural,degraded-moderate,G3,ocs_only,final,0.1,160.8561,259,296,0.9122,0.9,321.7122
neural,degraded-moderate,G3,ocs_only,final,0.2,103.4127,259,296,0.7905,0.8,206.8255
neural,degraded-moderate,G5,ocs_only,best,0.05,163.9284,259,296,0.9797,0.95,327.8568
neural,degraded-moderate,G5,ocs_only,best,0.1,133.6306,259,296,0.9324,0.9,267.2612
neural,degraded-moderate,G5,ocs_only,best,0.2,72.3013,259,296,0.8142,0.8,144.6026
neural,degraded-moderate,G5,ocs_only,final,0.05,162.4334,259,296,0.973,0.95,324.8669
neural,degraded-moderate,G5,ocs_only,final,0.1,123.313,259,296,0.9155,0.9,246.626
neural,degraded-moderate,G5,ocs_only,final,0.2,72.0161,259,296,0.7939,0.8,144.0322
neural,degraded-moderate,G5,image_only,best,0.05,6.9459,259,296,0.9426,0.95,13.8917
neural,degraded-moderate,G5,image_only,best,0.1,5.7254,259,296,0.9324,0.9,11.4509
neural,degraded-moderate,G5,image_only,best,0.2,4.1842,259,296,0.8378,0.8,8.3683
neural,degraded-moderate,G5,image_only,final,0.05,14.2436,259,296,0.9122,0.95,28.4873
neural,degraded-moderate,G5,image_only,final,0.1,12.0453,259,296,0.8615,0.9,24.0907
neural,degraded-moderate,G5,image_only,final,0.2,9.9849,259,296,0.7905,0.8,19.9699
neural,degraded-moderate,G5,joint,best,0.05,5.6677,259,296,0.9628,0.95,11.3355
neural,degraded-moderate,G5,joint,best,0.1,4.198,259,296,0.8818,0.9,8.396
neural,degraded-moderate,G5,joint,best,0.2,3.2325,259,296,0.7973,0.8,6.4649
neural,degraded-moderate,G5,joint,final,0.05,167.1055,259,296,0.9155,0.95,334.211
neural,degraded-moderate,G5,joint,final,0.1,157.1566,259,296,0.8851,0.9,314.3132
neural,degraded-moderate,G5,joint,final,0.2,136.5377,259,296,0.7939,0.8,273.0754
pdb-neg-L2,clean,G1,neg-L2,-,0.05,175.0,259,296,0.9764,0.95,350.0
pdb-neg-L2,clean,G1,neg-L2,-,0.1,170.0,259,296,0.9088,0.9,340.0
pdb-neg-L2,clean,G1,neg-L2,-,0.2,160.0,259,296,0.8176,0.8,320.0
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.05,175.0,259,296,0.9764,0.95,350.0
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.1,170.0,259,296,0.9088,0.9,340.0
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.2,160.0,259,296,0.8176,0.8,320.0
pdb-neg-L2,clean,G3,neg-L2,-,0.05,175.0,259,296,0.973,0.95,350.0
pdb-neg-L2,clean,G3,neg-L2,-,0.1,160.0,259,296,0.8953,0.9,320.0
pdb-neg-L2,clean,G3,neg-L2,-,0.2,25.0,259,296,0.8176,0.8,50.0
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.05,175.0,259,296,0.973,0.95,350.0
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.1,160.0,259,296,0.902,0.9,320.0
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.2,20.0,259,296,0.8176,0.8,40.0
pdb-neg-L2,clean,G5,neg-L2,-,0.05,100.0,259,296,0.9628,0.95,200.0
pdb-neg-L2,clean,G5,neg-L2,-,0.1,5.0,259,296,0.9291,0.9,10.0
pdb-neg-L2,clean,G5,neg-L2,-,0.2,0.0,259,296,0.8784,0.8,0.0
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.05,175.0,259,296,0.9932,0.95,350.0
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.1,5.0,259,296,0.9257,0.9,10.0
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.2,0.0,259,296,0.8514,0.8,0.0
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.05,175.0,259,296,0.973,0.95,350.0
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.1,175.0,259,296,0.973,0.9,350.0
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.2,160.0,259,296,0.8446,0.8,320.0
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.05,175.0,259,296,0.973,0.95,350.0
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.1,175.0,259,296,0.973,0.9,350.0
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.2,160.0,259,296,0.8446,0.8,320.0
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.05,175.0,259,296,0.9831,0.95,350.0
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.1,170.0,259,296,0.9561,0.9,340.0
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.2,85.0,259,296,0.8209,0.8,170.0
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.05,175.0,259,296,0.9831,0.95,350.0
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.1,175.0,259,296,0.9831,0.9,350.0
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.2,85.0,259,296,0.8243,0.8,170.0
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.05,175.0,259,296,0.9831,0.95,350.0
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.1,90.0,259,296,0.9054,0.9,180.0
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.2,5.0,259,296,0.8716,0.8,10.0
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.05,175.0,259,296,0.9865,0.95,350.0
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.1,95.0,259,296,0.9155,0.9,190.0
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.2,5.0,259,296,0.875,0.8,10.0
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.05,175.0,259,296,0.9662,0.95,350.0
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.1,175.0,259,296,0.9662,0.9,350.0
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.2,160.0,259,296,0.8277,0.8,320.0
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.05,175.0,259,296,0.9662,0.95,350.0
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.1,175.0,259,296,0.9662,0.9,350.0
