method,degrade_level,geom,mode,select,record_id,yaw_true,yaw_err,q_deg_a010,covered_a010
neural,clean,G1,ocs_only,best,G1_yaw330_pitch-070,330.0,163.8646,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw250_pitch-060,250.0,174.4606,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw130_pitch+085,130.0,59.8367,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw210_pitch-050,210.0,38.8577,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw210_pitch-060,210.0,30.6551,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw280_pitch+010,280.0,9.6155,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw130_pitch-010,130.0,50.5394,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw165_pitch+025,165.0,3.0153,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw330_pitch-045,330.0,151.2794,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw025_pitch-030,25.0,92.9071,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw210_pitch+040,210.0,61.4299,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw280_pitch-080,280.0,35.8331,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw000_pitch+025,0.0,48.8315,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw215_pitch+090,215.0,84.0426,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw070_pitch-090,70.0,50.2911,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw250_pitch+015,250.0,175.75,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw180_pitch+070,180.0,127.4997,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw355_pitch-040,355.0,58.3724,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw080_pitch-050,80.0,10.9791,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw175_pitch-055,175.0,42.7489,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw245_pitch-085,245.0,176.9234,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw345_pitch+065,345.0,98.4756,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw015_pitch-020,15.0,169.7109,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw295_pitch+060,295.0,7.302,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw315_pitch-035,315.0,117.5554,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw190_pitch+045,190.0,92.6516,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw310_pitch+070,310.0,115.4498,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw090_pitch-040,90.0,19.3569,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw265_pitch+085,265.0,113.8685,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw225_pitch-010,225.0,158.9864,160.8977,1
