method,degrade_level,geom,mode,select,alpha,stratum,val_n,test_n,q_deg,coverage,target,set_size_deg,fallback_pooled
neural,clean,G5,image_only,final,0.1,180-270,70,69,14.8417,0.8406,0.9,29.6835,False
neural,clean,G5,image_only,final,0.1,270-360,66,84,20.0,0.9524,0.9,40.0,False
neural,clean,G5,image_only,final,0.2,000-090,59,67,14.2267,0.806,0.8,28.4534,False
neural,clean,G5,image_only,final,0.2,090-180,64,76,20.3843,0.9079,0.8,40.7687,False
neural,clean,G5,image_only,final,0.2,180-270,70,69,10.4747,0.7101,0.8,20.9494,False
neural,clean,G5,image_only,final,0.2,270-360,66,84,15.4467,0.8929,0.8,30.8935,False
neural,clean,G5,joint,best,0.1,000-090,59,67,6.7579,0.8507,0.9,13.5158,False
neural,clean,G5,joint,best,0.1,090-180,64,76,5.9553,0.9342,0.9,11.9106,False
neural,clean,G5,joint,best,0.1,180-270,70,69,4.8076,0.8406,0.9,9.6152,False
neural,clean,G5,joint,best,0.1,270-360,66,84,7.3685,0.9286,0.9,14.7369,False
neural,clean,G5,joint,best,0.2,000-090,59,67,5.6873,0.7612,0.8,11.3747,False
neural,clean,G5,joint,best,0.2,090-180,64,76,5.0369,0.8947,0.8,10.0738,False
neural,clean,G5,joint,best,0.2,180-270,70,69,3.8325,0.7826,0.8,7.665,False
neural,clean,G5,joint,best,0.2,270-360,66,84,6.6718,0.9048,0.8,13.3436,False
neural,clean,G5,joint,final,0.1,000-090,59,67,6.7579,0.8507,0.9,13.5158,False
neural,clean,G5,joint,final,0.1,090-180,64,76,5.9553,0.9342,0.9,11.9106,False
neural,clean,G5,joint,final,0.1,180-270,70,69,4.8076,0.8406,0.9,9.6152,False
neural,clean,G5,joint,final,0.1,270-360,66,84,7.3685,0.9286,0.9,14.7369,False
neural,clean,G5,joint,final,0.2,000-090,59,67,5.6873,0.7612,0.8,11.3747,False
neural,clean,G5,joint,final,0.2,090-180,64,76,5.0369,0.8947,0.8,10.0738,False
neural,clean,G5,joint,final,0.2,180-270,70,69,3.8325,0.7826,0.8,7.665,False
neural,clean,G5,joint,final,0.2,270-360,66,84,6.6718,0.9048,0.8,13.3436,False
neural,degraded-mild,G1,ocs_only,best,0.1,000-090,59,67,107.0388,0.7164,0.9,214.0776,False
neural,degraded-mild,G1,ocs_only,best,0.1,090-180,64,76,172.698,0.9605,0.9,345.396,False
neural,degraded-mild,G1,ocs_only,best,0.1,180-270,70,69,177.3044,0.9275,0.9,354.6088,False
neural,degraded-mild,G1,ocs_only,best,0.1,270-360,66,84,134.0704,0.9048,0.9,268.1408,False
neural,degraded-mild,G1,ocs_only,best,0.2,000-090,59,67,63.515,0.6716,0.8,127.03,False
neural,degraded-mild,G1,ocs_only,best,0.2,090-180,64,76,128.1873,0.7763,0.8,256.3745,False
neural,degraded-mild,G1,ocs_only,best,0.2,180-270,70,69,165.4094,0.8841,0.8,330.8189,False
