==== R131 P1 seed-roll scan smoke 全量开始 Wed Jul  1 21:26:33     2026 ====

######## ROLL -60 : RENDER ########
TBBmalloc: skip allocation functions replacement in ucrtbase.dll: unknown prologue for function _msize
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-15 01:37:33)
Timer 'STL Import' took 126.16 ms
Timer 'STL Import' took 4.52 ms
Timer 'STL Import' took 1.87 ms
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.30M, Peak:44.07M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.38M, Peak:44.07M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.38M, Peak:44.07M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.38M, Peak:44.07M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.38M, Peak:44.07M | Scene, ViewLayer | Updating Film
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.30M, Peak:44.07M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.38M, Peak:44.07M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:101.95M (Peak 102.60M) | Time:00:00.23 | Mem:28.38M, Peak:44.07M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:105.95M (Peak 105.95M) | Time:00:00.24 | Mem:360.38M, Peak:360.38M | Scene, ViewLayer | Sample 0/1
Fra:1 Mem:111.21M (Peak 114.21M) | Time:00:00.25 | Mem:363.63M, Peak:363.63M | Scene, ViewLayer | Sample 1/1
Fra:1 Mem:111.21M (Peak 114.21M) | Time:00:00.25 | Mem:363.63M, Peak:363.63M | Scene, ViewLayer | Finished
Saved: 'D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\19_three_axis_p1_seed_roll_scan\render\shadow_passes\phase63\roll-060\yaw145_pitch+015_roll-060_sun.exr'
Time: 00:00.30 (Saving: 00:00.00)

Fra:1 Mem:56.98M (Peak 56.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | jinshuzhuti
Fra:1 Mem:56.98M (Peak 56.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yinshenban
帧:1 内存:75.69M (峰值 79.16M) | 时间:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
