seed_record_id,category,yaw,pitch,roll,source,ocs_total,n_pixels_camera_visible,n_pixels_contributing,local_contrast,mean_lit,image_usable,glint_flag,saturation_flag
yaw165_pitch-020,image-hard-seed,165,-20,-30,19_pack,2.324182e-02,6032,3799,0.911566,3.819994e-02,1,1,0
yaw165_pitch-020,image-hard-seed,165,-20,-15,19_pack,2.277292e-02,6305,3465,0.709100,4.103717e-02,1,1,0
yaw165_pitch-020,image-hard-seed,165,-20,0,01_fullrun,2.085778e-02,6312,3050,0.602180,4.270023e-02,1,1,0
yaw165_pitch-020,image-hard-seed,165,-20,15,19_pack,1.820697e-02,6088,2612,0.585442,4.352375e-02,1,1,0
yaw165_pitch-020,image-hard-seed,165,-20,30,19_pack,1.788690e-02,6043,5403,1.354735,2.067103e-02,1,1,0
yaw165_pitch-020,image-hard-seed,165,-20,45,19_pack,2.068453e-02,6187,4975,0.952953,2.596059e-02,1,1,0
yaw165_pitch-020,image-hard-seed,165,-20,60,19_pack,2.153338e-02,6064,4322,0.835264,3.110924e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,-60,19_pack,2.234971e-02,6173,5010,0.476275,2.785455e-02,1,0,0
yaw285_pitch-070,dark-seed,285,-70,-45,19_pack,2.483141e-02,6165,4347,0.844920,3.566758e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,-30,19_pack,2.092142e-02,5864,3525,0.609732,3.705902e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,-15,19_pack,1.462719e-02,5334,2599,0.731203,3.514119e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,0,01_fullrun,1.062832e-02,4593,4503,1.062794,1.473753e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,15,19_pack,1.357253e-02,4352,4110,0.851574,2.061964e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,30,19_pack,1.888847e-02,5194,3942,0.512822,2.991866e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,45,19_pack,2.553694e-02,5846,3636,1.162971,4.385376e-02,1,1,0
yaw285_pitch-070,dark-seed,285,-70,60,19_pack,2.218076e-02,6244,3194,0.714687,4.336142e-02,1,1,0
yaw150_pitch+010,robust-easy-seed,150,10,-60,19_pack,1.748387e-01,5582,2701,0.441797,4.041800e-01,1,0,1
yaw150_pitch+010,robust-easy-seed,150,10,-45,19_pack,1.750517e-01,5783,2768,0.470165,3.948772e-01,1,0,1
yaw150_pitch+010,robust-easy-seed,150,10,-30,19_pack,1.753284e-01,5833,2775,0.470598,3.945039e-01,1,0,1
yaw150_pitch+010,robust-easy-seed,150,10,-15,19_pack,1.738558e-01,5688,3144,0.626681,3.452778e-01,1,0,0
yaw150_pitch+010,robust-easy-seed,150,10,0,01_fullrun,1.749517e-01,5606,2807,0.484533,3.891685e-01,1,0,1
yaw150_pitch+010,robust-easy-seed,150,10,15,19_pack,1.719062e-01,5715,2714,0.467977,3.954974e-01,1,0,0
yaw150_pitch+010,robust-easy-seed,150,10,30,19_pack,1.694736e-01,5607,2615,0.442097,4.046618e-01,1,0,0
yaw150_pitch+010,robust-easy-seed,150,10,45,19_pack,1.663204e-01,5388,2543,0.432673,4.083768e-01,1,0,0
yaw150_pitch+010,robust-easy-seed,150,10,60,19_pack,1.640485e-01,5037,2482,0.419733,4.126980e-01,1,0,0
