geom,degrade_level,query_split,similarity,template_mode,stratum_type,stratum,n,top1_yaw_cmae,top1_yaw_hit@30
G5,clean,test,cosine,matched-degraded,yaw_sector,180-270,69,14.3478,0.8986
G5,clean,test,cosine,matched-degraded,yaw_sector,270-360,84,19.3452,0.869
G5,clean,test,cosine,matched-degraded,pitch_bin,+00..+45,72,12.3611,0.9167
G5,clean,test,cosine,matched-degraded,pitch_bin,+45..+90,72,12.4306,0.9306
G5,clean,test,cosine,matched-degraded,pitch_bin,+90..+135,8,11.875,0.875
G5,clean,test,cosine,matched-degraded,pitch_bin,-45..+00,72,17.6389,0.875
G5,clean,test,cosine,matched-degraded,pitch_bin,-90..-45,72,34.8611,0.7917
G5,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,10.7463,0.9403
G5,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,13.5526,0.9211
G5,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,4.3478,0.971
G5,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,12.0833,0.9286
G5,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,9.5833,0.9444
G5,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,11.0417,0.9306
G5,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,3.125,1.0
G5,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,7.9167,0.9583
G5,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,13.6806,0.9167
G1,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,000-090,59,83.5593,0.4068
G1,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,090-180,64,88.9062,0.1719
G1,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,180-270,70,87.6429,0.2571
G1,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,270-360,66,82.3485,0.3182
G1,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,75.873,0.3333
G1,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+45..+90,63,88.4921,0.2698
G1,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+90..+135,7,65.0,0.5714
G1,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,-45..+00,63,92.3016,0.2063
G1,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,-90..-45,63,88.3333,0.3016
G1,degraded-mild,val,cosine,matched-degraded,yaw_sector,000-090,59,98.6441,0.0
G1,degraded-mild,val,cosine,matched-degraded,yaw_sector,090-180,64,26.9531,0.625
G1,degraded-mild,val,cosine,matched-degraded,yaw_sector,180-270,70,79.3571,0.0
G1,degraded-mild,val,cosine,matched-degraded,yaw_sector,270-360,66,153.5606,0.0
G1,degraded-mild,val,cosine,matched-degraded,pitch_bin,+00..+45,63,83.4127,0.1429
G1,degraded-mild,val,cosine,matched-degraded,pitch_bin,+45..+90,63,95.873,0.1111
G1,degraded-mild,val,cosine,matched-degraded,pitch_bin,+90..+135,7,71.4286,0.2857
G1,degraded-mild,val,cosine,matched-degraded,pitch_bin,-45..+00,63,96.5873,0.1587
G1,degraded-mild,val,cosine,matched-degraded,pitch_bin,-90..-45,63,85.0,0.1905
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,000-090,59,83.5593,0.4068
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,090-180,64,88.9062,0.1719
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,180-270,70,87.6429,0.2571
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,270-360,66,82.3485,0.3182
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,63,75.873,0.3333
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,63,88.4921,0.2698
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,7,65.0,0.5714
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,63,92.3016,0.2063
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,63,88.3333,0.3016
G1,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,000-090,67,67.5373,0.3881
G1,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,090-180,76,77.0395,0.2632
G1,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,180-270,69,91.0145,0.2319
G1,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,270-360,84,96.9643,0.2143
G1,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+00..+45,72,92.6389,0.2083
G1,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+45..+90,72,77.0139,0.3611
G1,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+90..+135,8,107.5,0.0
G1,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,-45..+00,72,79.4444,0.2639
G1,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,83.4722,0.2778
G1,degraded-mild,test,cosine,matched-degraded,yaw_sector,000-090,67,105.2239,0.0
G1,degraded-mild,test,cosine,matched-degraded,yaw_sector,090-180,76,24.1447,0.7632
G1,degraded-mild,test,cosine,matched-degraded,yaw_sector,180-270,69,74.4928,0.0
G1,degraded-mild,test,cosine,matched-degraded,yaw_sector,270-360,84,155.7143,0.0
G1,degraded-mild,test,cosine,matched-degraded,pitch_bin,+00..+45,72,89.2361,0.2361
G1,degraded-mild,test,cosine,matched-degraded,pitch_bin,+45..+90,72,89.375,0.2083
G1,degraded-mild,test,cosine,matched-degraded,pitch_bin,+90..+135,8,86.875,0.25
G1,degraded-mild,test,cosine,matched-degraded,pitch_bin,-45..+00,72,91.9444,0.1806
