pose_label,yaw,pitch,roll,ocs_total,src_pkg,region,category,selection_reason
yaw060_pitch+080_roll+060,60.0,80.0,60.0,0.01360391,P2,R3_low_info,low-info/ocs-hard,region_bottom_R3_low_info
yaw065_pitch+075_roll+060,65.0,75.0,60.0,0.01358642,P2,R3_low_info,low-info/ocs-hard,region_bottom_R3_low_info
yaw2050_pitchm0100_roll+060,205.0,-10.0,60.0,0.01356113,P3,R5_control,neutral-control,region_bottom_R5_control
yaw060_pitch+075_roll+060,60.0,75.0,60.0,0.01352417,P2,R3_low_info,low-info/ocs-hard,region_bottom_R3_low_info
yaw075_pitch+060_roll-045,75.0,60.0,-45.0,0.01339516,P2,R3_low_info,low-info/ocs-hard,region_bottom_R3_low_info
yaw2050_pitchm0050_roll+060,205.0,-5.0,60.0,0.01310519,P3,R5_control,neutral-control,region_bottom_R5_control
yaw0650_pitchp0625_roll+060,65.0,62.5,60.0,0.01277641,P3,R3_low_info_connectivity,low-info/ocs-hard,region_bottom_R3_low_info_connectivity
yaw0650_pitchp0600_roll+060,65.0,60.0,60.0,0.01277507,P3,R3_low_info_connectivity,low-info/ocs-hard,region_bottom_R3_low_info_connectivity
yaw0625_pitchp0600_roll+060,62.5,60.0,60.0,0.01265639,P3,R3_low_info_connectivity,low-info/ocs-hard,region_bottom_R3_low_info_connectivity
yaw0625_pitchp0625_roll+060,62.5,62.5,60.0,0.01253981,P3,R3_low_info_connectivity,low-info/ocs-hard,region_bottom_R3_low_info_connectivity
yaw195_pitch+005_roll+060,195.0,5.0,60.0,0.01198183,P2,R5_neutral,neutral-control,region_bottom_R5_neutral
yaw190_pitch+010_roll+060,190.0,10.0,60.0,0.01197166,P2,R5_neutral,neutral-control,region_bottom_R5_neutral
yaw200_pitch+010_roll+060,200.0,10.0,60.0,0.01191062,P2,R5_neutral,neutral-control,region_bottom_R5_neutral
yaw280_pitch-085_roll+000,280.0,-85.0,0.0,0.01188527,01,R2_control,dark/roll-sensitive-control,region_bottom_R2_control
yaw280_pitch-080_roll+000,280.0,-80.0,0.0,0.01180178,01,R2_control,dark/roll-sensitive-control,region_bottom_R2_control
yaw195_pitch+010_roll+060,195.0,10.0,60.0,0.01175905,P2,R5_neutral,neutral-control,region_bottom_R5_neutral
yaw285_pitch-080_roll+000,285.0,-80.0,0.0,0.01143705,01,R2_control,dark/roll-sensitive-control,region_bottom_R2_control
yaw285_pitch-085_roll+000,285.0,-85.0,0.0,0.01139125,01,R2_control,dark/roll-sensitive-control,region_bottom_R2_control
yaw290_pitch-080_roll+000,290.0,-80.0,0.0,0.01132902,01,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw290_pitch-075_roll+000,290.0,-75.0,0.0,0.01130033,01,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw285_pitch-090_roll+000,285.0,-90.0,0.0,0.01123913,01,unlabeled,unlabeled,region_bottom_unlabeled
yaw290_pitch-060_roll+000,290.0,-60.0,0.0,0.01122717,01,unlabeled,unlabeled,region_bottom_unlabeled
yaw280_pitch-070_roll+000,280.0,-70.0,0.0,0.01118219,01,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw290_pitch-090_roll+000,290.0,-90.0,0.0,0.01117430,01,unlabeled,unlabeled,region_bottom_unlabeled
yaw295_pitch-075_roll-015,295.0,-75.0,-15.0,0.01116049,P2,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw275_pitch-075_roll+015,275.0,-75.0,15.0,0.01113513,P2,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw280_pitch-065_roll+000,280.0,-65.0,0.0,0.01112832,01,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw290_pitch-085_roll+000,290.0,-85.0,0.0,0.01108956,01,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw285_pitch-075_roll+000,285.0,-75.0,0.0,0.01107836,01,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw275_pitch-065_roll+015,275.0,-65.0,15.0,0.01104089,P2,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw285_pitch-060_roll+000,285.0,-60.0,0.0,0.01103356,01,unlabeled,unlabeled,region_bottom_unlabeled
yaw275_pitch-070_roll+015,275.0,-70.0,15.0,0.01097729,P2,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw295_pitch-070_roll-015,295.0,-70.0,-15.0,0.01087511,P2,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw295_pitch-065_roll-015,295.0,-65.0,-15.0,0.01086861,P2,R2_dark_rollsens,dark/roll-sensitive,dark_bottom20_global
yaw285_pitch-065_roll+000,285.0,-65.0,0.0,0.01073014,01,R2_dark_rollsens,dark/roll-sensitive,region_bottom_R2_dark_rollsens
yaw290_pitch-065_roll+000,290.0,-65.0,0.0,0.01071871,01,R2_dark_rollsens,dark/roll-sensitive,region_bottom_R2_dark_rollsens
yaw290_pitch-070_roll+000,290.0,-70.0,0.0,0.01068321,01,R2_dark_rollsens,dark/roll-sensitive,region_bottom_R2_dark_rollsens
yaw285_pitch-070_roll+000,285.0,-70.0,0.0,0.01062832,01,R2_dark_rollsens,dark/roll-sensitive,region_bottom_R2_dark_rollsens
