pose_label,yaw,pitch,roll,ocs_total,n_metal_px,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct
yaw060_pitch+075_roll+060,60.0,75.0,60.0,0.01352417,1947,0.01276989,0.00000000,0.00075428,94.423,0.000,5.577
yaw075_pitch+060_roll-045,75.0,60.0,-45.0,0.01339516,1472,0.00543619,0.00000000,0.00795897,40.583,0.000,59.417
yaw2050_pitchm0050_roll+060,205.0,-5.0,60.0,0.01310519,1599,0.00784818,0.00202244,0.00323457,59.886,15.432,24.682
yaw0650_pitchp0625_roll+060,65.0,62.5,60.0,0.01277641,5462,0.01198602,0.00000000,0.00079039,93.814,0.000,6.186
yaw0650_pitchp0600_roll+060,65.0,60.0,60.0,0.01277507,5495,0.01192428,0.00000000,0.00085079,93.340,0.000,6.660
yaw0625_pitchp0600_roll+060,62.5,60.0,60.0,0.01265639,2211,0.01187698,0.00000000,0.00077941,93.842,0.000,6.158
yaw0625_pitchp0625_roll+060,62.5,62.5,60.0,0.01253981,2166,0.01173464,0.00000000,0.00080517,93.579,0.000,6.421
yaw195_pitch+005_roll+060,195.0,5.0,60.0,0.01198183,1778,0.00839063,0.00122510,0.00236610,70.028,10.225,19.747
yaw190_pitch+010_roll+060,190.0,10.0,60.0,0.01197166,1878,0.00924321,0.00082294,0.00190551,77.209,6.874,15.917
yaw200_pitch+010_roll+060,200.0,10.0,60.0,0.01191062,1647,0.00660170,0.00110705,0.00420186,55.427,9.295,35.278
yaw280_pitch-085_roll+000,280.0,-85.0,0.0,0.01188527,1209,0.00717896,0.00161808,0.00308823,60.402,13.614,25.984
yaw280_pitch-080_roll+000,280.0,-80.0,0.0,0.01180178,1373,0.00758696,0.00169175,0.00252307,64.287,14.335,21.379
yaw195_pitch+010_roll+060,195.0,10.0,60.0,0.01175905,1750,0.00770189,0.00094886,0.00310830,65.498,8.069,26.433
