pose_label,yaw,pitch,roll,ocs_total,avgN_vs_sun_deg,avgN_vs_det_deg,avgN_vs_H_deg,weighted_metal_NH,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal
yaw2100_pitchm0100_roll+015,210.0,-10.0,15.0,0.02353417,51.130,13.542,20.169,0.90793,39.828,0.319,7.06206e-03
yaw210_pitch+005_roll+015,210.0,5.0,15.0,0.02318248,51.177,13.868,20.362,0.89893,40.090,1.452,1.47024e-02
yaw210_pitch+010_roll+015,210.0,10.0,15.0,0.02239744,51.852,13.485,21.087,0.89220,41.489,1.345,1.41243e-02
yaw2100_pitchm0100_roll+030,210.0,-10.0,30.0,0.02227095,46.541,25.656,21.170,0.90136,38.020,0.886,9.37284e-03
yaw210_pitch-010_roll+000,210.0,-10.0,0.0,0.02108413,55.371,8.076,23.881,0.82444,47.700,0.000,7.77901e-04
yaw210_pitch+010_roll+000,210.0,10.0,0.0,0.02100427,55.319,8.942,24.005,0.85000,47.784,0.183,4.01982e-03
yaw2050_pitchm0100_roll+015,205.0,-10.0,15.0,0.02095003,53.732,11.595,22.794,0.87243,45.029,0.382,5.99566e-03
yaw210_pitch-005_roll+000,210.0,-5.0,0.0,0.02091657,55.817,7.761,24.348,0.82711,48.613,0.031,8.42643e-04
yaw2050_pitchm0050_roll+015,205.0,-5.0,15.0,0.02088916,53.126,12.203,22.241,0.86523,43.884,0.520,8.20437e-03
yaw2100_pitchm0050_roll+030,210.0,-5.0,30.0,0.02076911,48.977,25.175,23.629,0.88574,42.626,0.633,7.68024e-03
yaw210_pitch+000_roll+000,210.0,0.0,0.0,0.02076138,55.960,7.889,24.540,0.83266,48.951,0.000,8.93336e-04
yaw210_pitch+005_roll+000,210.0,5.0,0.0,0.02071600,56.119,7.874,24.723,0.83730,49.293,0.000,1.95938e-03
yaw190_pitch-010_roll+030,190.0,-10.0,30.0,0.02059212,33.537,30.012,4.304,0.76381,7.565,0.976,1.02052e-02
yaw205_pitch+005_roll+015,205.0,5.0,15.0,0.02036964,51.801,13.712,21.109,0.85034,41.470,1.247,1.10423e-02
yaw235_pitch+035_roll+060,235.0,35.0,60.0,0.02002093,53.007,23.009,26.728,0.68798,49.047,0.098,1.67087e-03
yaw230_pitch+025_roll+060,230.0,25.0,60.0,0.01958523,52.522,27.779,28.817,0.67861,51.360,0.163,1.59675e-03
yaw230_pitch+030_roll+060,230.0,30.0,60.0,0.01955692,53.115,24.115,27.410,0.68256,49.954,0.312,2.84930e-03
yaw230_pitch+035_roll+060,230.0,35.0,60.0,0.01917412,53.115,19.184,24.992,0.67920,47.038,0.248,2.10964e-03
yaw2100_pitchm0100_roll+060,210.0,-10.0,60.0,0.01488927,47.631,45.835,36.464,0.71303,60.870,0.190,2.97256e-03
yaw2100_pitchm0050_roll+060,210.0,-5.0,60.0,0.01445543,51.189,44.163,37.938,0.68120,63.451,0.126,1.62991e-03
yaw060_pitch+080_roll+060,60.0,80.0,60.0,0.01360392,8.171,56.117,24.779,0.79574,49.350,0.108,3.23762e-03
yaw065_pitch+075_roll+060,65.0,75.0,60.0,0.01358642,11.496,51.761,20.254,0.73920,40.466,0.092,1.30667e-03
yaw2050_pitchm0100_roll+060,205.0,-10.0,60.0,0.01356113,47.885,45.725,36.572,0.71395,61.049,0.561,4.15583e-03
yaw060_pitch+075_roll+060,60.0,75.0,60.0,0.01352417,7.844,55.843,24.395,0.80587,48.687,0.000,2.39006e-03
yaw075_pitch+060_roll-045,75.0,60.0,-45.0,0.01339516,26.331,42.012,15.877,0.67278,28.410,0.543,6.40496e-03
yaw2050_pitchm0050_roll+060,205.0,-5.0,60.0,0.01310519,50.933,44.363,37.881,0.67894,63.328,0.375,3.02387e-03
yaw0650_pitchp0625_roll+060,65.0,62.5,60.0,0.01277641,7.380,55.734,24.178,0.79857,48.356,0.037,1.40295e-03
yaw0650_pitchp0600_roll+060,65.0,60.0,60.0,0.01277507,7.108,56.004,24.448,0.81098,48.897,0.000,1.16019e-03
yaw0625_pitchp0600_roll+060,62.5,60.0,60.0,0.01265639,6.710,56.412,24.858,0.84122,49.715,0.000,1.85867e-03
yaw0625_pitchp0625_roll+060,62.5,62.5,60.0,0.01253981,6.384,56.775,25.227,0.82543,50.446,0.000,1.17892e-03
yaw195_pitch+005_roll+060,195.0,5.0,60.0,0.01198183,21.921,52.318,25.442,0.63311,47.006,0.056,1.94954e-03
