pose_label,yaw,pitch,roll,ocs_total,ocs_rank,role,region,near_specular_metal,strong_surface_highlight,dark_panel_increment
yaw290_pitch-090_roll+000,290.0,-90.0,0.0,0.01117430,145,,,0,0,1
yaw295_pitch-075_roll-015,295.0,-75.0,-15.0,0.01116049,146,,,0,0,1
yaw275_pitch-075_roll+015,275.0,-75.0,15.0,0.01113513,147,,,0,0,1
yaw280_pitch-065_roll+000,280.0,-65.0,0.0,0.01112832,148,,,0,0,1
yaw290_pitch-085_roll+000,290.0,-85.0,0.0,0.01108956,149,,,0,0,1
yaw285_pitch-075_roll+000,285.0,-75.0,0.0,0.01107836,150,,,0,0,1
yaw275_pitch-065_roll+015,275.0,-65.0,15.0,0.01104089,151,,,0,0,1
yaw285_pitch-060_roll+000,285.0,-60.0,0.0,0.01103356,152,,,0,0,1
yaw275_pitch-070_roll+015,275.0,-70.0,15.0,0.01097729,153,,,0,0,1
yaw295_pitch-070_roll-015,295.0,-70.0,-15.0,0.01087511,154,,,0,0,1
yaw295_pitch-065_roll-015,295.0,-65.0,-15.0,0.01086861,155,,,0,0,1
yaw285_pitch-065_roll+000,285.0,-65.0,0.0,0.01073015,156,,,0,0,1
yaw290_pitch-065_roll+000,290.0,-65.0,0.0,0.01071871,157,,,0,0,1
yaw290_pitch-070_roll+000,290.0,-70.0,0.0,0.01068321,158,,,0,0,1
yaw285_pitch-070_roll+000,285.0,-70.0,0.0,0.01062832,159,,,0,0,1
