region,category,yaw,pitch,roll,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R3_low_info,low-info/ocs-hard,60,80,0,01_fullrun,6.887131e-02,15,0,0.455911,0.916954,2.040533,6281,4355,9.874431e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,80,15,20_pack,3.287436e-02,62,47,0.390622,1.157012,2.040533,6088,4817,4.261304e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,80,30,20_pack,2.424212e-02,71,56,0.904533,0.968138,2.040533,5649,5171,2.927238e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,80,45,20_pack,1.830037e-02,91,76,1.185332,0.698130,2.040533,5907,5565,2.053321e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,80,60,20_pack,1.360391e-02,98,83,0.641663,0.426152,2.040533,6037,1959,4.336021e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,60,-60,20_pack,1.469847e-02,118,82,0.814905,0.300211,1.591895,4051,3903,2.351449e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,60,-45,20_pack,1.665668e-02,98,62,1.324891,0.570980,1.591895,4748,4672,2.226115e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,60,-30,20_pack,2.090310e-02,74,38,1.316606,1.165681,1.591895,5626,5567,2.344506e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,60,-15,20_pack,3.032586e-02,35,-1,0.640660,1.386345,1.591895,6191,3887,4.871475e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,60,0,01_fullrun,5.211601e-02,36,0,0.648594,1.063859,1.591895,6413,4636,7.019233e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,60,15,20_pack,3.139416e-02,66,30,0.552030,1.209630,1.591895,6273,5117,3.830852e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,60,30,20_pack,2.453397e-02,70,34,0.869381,0.698379,1.591895,5884,5480,2.795434e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,60,45,20_pack,1.901613e-02,90,54,1.281901,0.736725,1.591895,6105,5860,2.026219e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,60,60,20_pack,1.277507e-02,112,76,1.857540,0.491729,1.591895,6202,5654,1.410813e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,65,-60,20_pack,1.519658e-02,116,87,0.653330,0.299597,1.595275,4011,3815,2.487214e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,65,-45,20_pack,1.663619e-02,99,70,1.313719,0.571462,1.595275,4640,4556,2.279986e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,65,-30,20_pack,2.048556e-02,77,48,1.294943,1.181011,1.595275,5528,5452,2.346140e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,65,-15,20_pack,2.961353e-02,36,7,0.554466,1.399755,1.595275,6126,3728,4.959937e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,65,0,01_fullrun,5.274215e-02,29,0,0.642022,1.075472,1.595275,6394,4515,7.293937e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,65,15,20_pack,3.271301e-02,64,35,0.529592,1.203643,1.595275,6282,5014,4.073786e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,65,30,20_pack,2.525883e-02,67,38,0.836361,0.796122,1.595275,5915,5398,2.921745e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,65,45,20_pack,1.922262e-02,89,60,1.214036,0.768102,1.595275,6044,5788,2.073700e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,65,60,20_pack,1.290112e-02,110,81,1.808984,0.511008,1.595275,6190,5616,1.434373e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,70,-60,20_pack,1.567676e-02,111,81,0.540865,0.312176,1.570585,3998,3740,2.617259e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,70,-45,20_pack,1.619356e-02,104,74,1.207434,0.537585,1.570585,4501,4413,2.291238e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,70,-30,20_pack,2.020393e-02,78,48,1.295167,1.061003,1.570585,5423,5343,2.361091e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,70,-15,20_pack,2.887275e-02,37,7,0.485636,1.443868,1.570585,6045,3556,5.069772e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,70,0,01_fullrun,5.271370e-02,30,0,0.582001,1.099411,1.570585,6360,4394,7.490751e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,70,15,20_pack,3.427288e-02,60,30,0.452081,1.196250,1.570585,6268,4924,4.346048e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,70,30,20_pack,2.600912e-02,62,32,0.868595,0.906383,1.570585,5914,5324,3.050350e-02,1,1,0
