record_id,region,all_regions,category,yaw,pitch,roll,geom,label,render_needed,roll0_reuse_source,source_seed
R4_bright_robust__yaw155_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,15,-30,phase63(L1-G1),yaw155_pitch+015_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,15,-15,phase63(L1-G1),yaw155_pitch+015_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,15,0,phase63(L1-G1),yaw155_pitch+015_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,15,15,phase63(L1-G1),yaw155_pitch+015_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,15,30,phase63(L1-G1),yaw155_pitch+015_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,15,45,phase63(L1-G1),yaw155_pitch+015_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,15,60,phase63(L1-G1),yaw155_pitch+015_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,20,-60,phase63(L1-G1),yaw155_pitch+020_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,20,-45,phase63(L1-G1),yaw155_pitch+020_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,20,-30,phase63(L1-G1),yaw155_pitch+020_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,20,-15,phase63(L1-G1),yaw155_pitch+020_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,20,0,phase63(L1-G1),yaw155_pitch+020_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw155_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,155,20,15,phase63(L1-G1),yaw155_pitch+020_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
