record_id,yaw,pitch,ocs_total_phase63,n_pix_contrib,ocs_g1_err,ocs_g5_err,gain_g1_to_g5,hardcase_labels,neural_entropy,neural_margin,pdb_nearest_distance,pdb_cand_yaw_spread,roll_err_mean15,roll_err_mean30,roll_sensitivity_30_minus_15,local_contrast,glint_flag
yaw020_pitch-050,20.0,-50.0,0.020660368216340874,5310,,,,,,,,,106.12,65.1195,-41.0005,0.001403532674486025,0
yaw020_pitch-045,20.0,-45.0,0.02076429634364496,5275,,,,,,,,,108.27350000000001,71.864,-36.40950000000001,0.001586367446777641,0
yaw020_pitch-040,20.0,-40.0,0.021031308640805102,5166,,,,,,,,,115.10399999999998,88.2805,-26.82349999999998,0.0017721926148151282,0
yaw020_pitch-035,20.0,-35.0,0.021909573163000906,5087,,,,,,,,,126.466,119.248,-7.217999999999989,0.001697306714912132,0
yaw020_pitch-030,20.0,-30.0,0.022521568290376215,5054,,,,,,,,,140.184,139.40800000000002,-0.775999999999982,0.0014919455369117804,0
yaw020_pitch-025,20.0,-25.0,0.022870769046375028,5069,,,,,,,,,164.191,157.977,-6.213999999999999,0.0014179577179621386,0
yaw020_pitch-020,20.0,-20.0,0.02197637572338429,4995,,,,,,,,,168.7855,159.474,-9.311500000000024,0.001387663064741744,0
yaw020_pitch-015,20.0,-15.0,0.021437180137778844,5211,,,,,,,,,169.08350000000002,161.23149999999998,-7.852000000000032,0.0012579882700247506,0
yaw020_pitch-010,20.0,-10.0,0.020582996403921416,5178,,,,,,,,,161.2485,151.403,-9.845500000000015,0.0011787663802944118,0
yaw020_pitch-005,20.0,-5.0,0.02033545230244807,5258,162.908,1.676,161.232,,4.917319,0.000402,1e-06,0.0,155.2405,137.8645,-17.376000000000005,0.0011648636900258615,0
yaw020_pitch+000,20.0,0.0,0.01981815645143714,5274,,,,,,,,,141.3425,123.162,-18.180499999999995,0.00136994459956543,0
yaw020_pitch+005,20.0,5.0,0.020094489240450597,5291,,,,,,,,,135.1125,98.033,-37.07950000000001,0.0015294480534571234,0
yaw020_pitch+010,20.0,10.0,0.020459413133466775,5283,,,,,,,,,124.85000000000001,77.2805,-47.569500000000005,0.001666014397612263,0
yaw020_pitch+015,20.0,15.0,0.020661937108781836,5275,,,,,,,,,116.264,67.483,-48.78099999999999,0.0017346493180632298,0
yaw020_pitch+020,20.0,20.0,0.020710093797943196,5284,,,,,,,,,103.001,61.6845,-41.316500000000005,0.001859221241240841,0
yaw020_pitch+025,20.0,25.0,0.02116609654029683,5274,,,,,,,,,102.5885,59.132999999999996,-43.4555,0.0020850304090293086,0
yaw020_pitch+030,20.0,30.0,0.021510639494126682,5279,,,,,,,,,95.3155,59.507999999999996,-35.807500000000005,0.0022325647959295716,0
yaw020_pitch+035,20.0,35.0,0.021848562308357522,5265,,,,,,,,,92.426,60.1055,-32.3205,0.002325000541727844,0
yaw020_pitch+040,20.0,40.0,0.022185312118894185,5255,,,,,,,,,93.05,62.571999999999996,-30.478,0.0022803895922488167,0
yaw020_pitch+045,20.0,45.0,0.022186631748050134,5228,,,,,,,,,93.499,125.10499999999999,31.605999999999995,0.0021078722122157105,0
yaw020_pitch+050,20.0,50.0,0.022186746604661856,5205,,,,,,,,,96.113,69.7775,-26.335499999999996,0.001953952744659839,0
yaw020_pitch+055,20.0,55.0,0.022232774780869824,5207,,,,,,,,,101.14099999999999,69.7605,-31.380499999999998,0.0018408764104200191,0
yaw020_pitch+060,20.0,60.0,0.022779560677879673,5244,,,,,,,,,92.42099999999999,81.003,-11.417999999999992,0.0017767062352800136,0
yaw020_pitch+065,20.0,65.0,0.022653325930324653,5273,125.034,8.74,116.295,disagreement-hard,4.917319,8.9e-05,0.0,0.0,82.35249999999999,85.989,3.6365000000000123,0.001710491704092279,0
yaw020_pitch+070,20.0,70.0,0.022424673297721798,5250,,,,,,,,,71.2905,87.4175,16.12700000000001,0.0017677646786044658,0
yaw020_pitch+075,20.0,75.0,0.02240902347343532,5354,,,,,,,,,68.856,89.5475,20.691500000000005,0.0018496699670200907,0
