geom,record_id,yaw_true,pitch_true,image_hit,ocs_hit,joint_hit,pdb_hit,label
G3,G3_yaw065_pitch+070,65.0,70.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw065_pitch+075,65.0,75.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw065_pitch-015,65.0,-15.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw065_pitch-080,65.0,-80.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw065_pitch-090,65.0,-90.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw070_pitch-045,70.0,-45.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw070_pitch-085,70.0,-85.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw070_pitch-090,70.0,-90.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw075_pitch-070,75.0,-70.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw080_pitch+010,80.0,10.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw085_pitch+000,85.0,0.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw090_pitch+015,90.0,15.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw095_pitch+005,95.0,5.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw095_pitch+025,95.0,25.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw100_pitch+045,100.0,45.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw100_pitch+075,100.0,75.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw105_pitch+075,105.0,75.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw105_pitch-015,105.0,-15.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw105_pitch-025,105.0,-25.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw105_pitch-085,105.0,-85.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw110_pitch+020,110.0,20.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw110_pitch+050,110.0,50.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw110_pitch-055,110.0,-55.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw115_pitch+015,115.0,15.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw115_pitch+020,115.0,20.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw115_pitch+035,115.0,35.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw115_pitch-025,115.0,-25.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw115_pitch-075,115.0,-75.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw115_pitch-085,115.0,-85.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw120_pitch+075,120.0,75.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw120_pitch+085,120.0,85.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw120_pitch-030,120.0,-30.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw125_pitch+035,125.0,35.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw130_pitch-010,130.0,-10.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw130_pitch-060,130.0,-60.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw135_pitch-010,135.0,-10.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw135_pitch-080,135.0,-80.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw140_pitch+000,140.0,0.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw140_pitch+020,140.0,20.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw145_pitch+000,145.0,0.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw155_pitch-035,155.0,-35.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw160_pitch-055,160.0,-55.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw160_pitch-070,160.0,-70.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw160_pitch-080,160.0,-80.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw170_pitch+050,170.0,50.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw170_pitch+060,170.0,60.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw175_pitch+080,175.0,80.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw190_pitch+060,190.0,60.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw195_pitch+040,195.0,40.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw195_pitch+045,195.0,45.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw195_pitch+050,195.0,50.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw195_pitch-025,195.0,-25.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw200_pitch+000,200.0,0.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw200_pitch+005,200.0,5.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw200_pitch+010,200.0,10.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw245_pitch-085,245.0,-85.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw260_pitch-065,260.0,-65.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw265_pitch+085,265.0,85.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw270_pitch+000,270.0,0.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw270_pitch+025,270.0,25.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw270_pitch+030,270.0,30.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw270_pitch+035,270.0,35.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw270_pitch+045,270.0,45.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw270_pitch+070,270.0,70.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw270_pitch-010,270.0,-10.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw270_pitch-030,270.0,-30.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw270_pitch-050,270.0,-50.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw275_pitch+020,275.0,20.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw275_pitch-015,275.0,-15.0,1,0,1,1,ocs_wrong_image_correct
G3,G3_yaw280_pitch+010,280.0,10.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw280_pitch+055,280.0,55.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw280_pitch+065,280.0,65.0,1,0,1,0,ocs_wrong_image_correct
