geom,record_id,yaw_true,pitch_true,type,pdb_yaw_err,pdb_nearest
G1,G1_yaw110_pitch+050,110.0,50.0,pdb_near_but_wrong(ambiguous_flux),115.0,0.0
G1,G1_yaw015_pitch+050,15.0,50.0,pdb_near_but_wrong(ambiguous_flux),155.0,0.0
G1,G1_yaw300_pitch+035,300.0,35.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw105_pitch-015,105.0,-15.0,pdb_near_but_wrong(ambiguous_flux),160.0,0.0
G1,G1_yaw260_pitch-005,260.0,-5.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw300_pitch+060,300.0,60.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw015_pitch-055,15.0,-55.0,pdb_near_but_wrong(ambiguous_flux),140.0,0.0
G1,G1_yaw040_pitch+045,40.0,45.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw295_pitch+090,295.0,90.0,pdb_near_but_wrong(ambiguous_flux),100.0,0.0
G1,G1_yaw115_pitch-075,115.0,-75.0,pdb_near_but_wrong(ambiguous_flux),180.0,0.0
G1,G1_yaw190_pitch+060,190.0,60.0,pdb_near_but_wrong(ambiguous_flux),100.0,0.0
G1,G1_yaw010_pitch-040,10.0,-40.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw210_pitch-030,210.0,-30.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw190_pitch-020,190.0,-20.0,pdb_near_but_wrong(ambiguous_flux),155.0,0.0
G1,G1_yaw010_pitch+080,10.0,80.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw065_pitch-080,65.0,-80.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw030_pitch-065,30.0,-65.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw325_pitch-090,325.0,-90.0,pdb_near_but_wrong(ambiguous_flux),95.0,0.0
G1,G1_yaw295_pitch+080,295.0,80.0,pdb_near_but_wrong(ambiguous_flux),100.0,0.0
G1,G1_yaw220_pitch-070,220.0,-70.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw185_pitch-060,185.0,-60.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw125_pitch+060,125.0,60.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw255_pitch-005,255.0,-5.0,neural_confident_but_wrong,166.17,
G1,G1_yaw190_pitch-055,190.0,-55.0,neural_confident_but_wrong,39.56,
G1,G1_yaw175_pitch-015,175.0,-15.0,neural_confident_but_wrong,44.89,
G1,G1_yaw135_pitch-080,135.0,-80.0,neural_confident_but_wrong,100.54,
G1,G1_yaw020_pitch+065,20.0,65.0,neural_confident_but_wrong,125.03,
G1,G1_yaw320_pitch+005,320.0,5.0,neural_confident_but_wrong,128.9,
G1,G1_yaw115_pitch-085,115.0,-85.0,neural_confident_but_wrong,120.66,
G1,G1_yaw325_pitch+010,325.0,10.0,neural_confident_but_wrong,155.9,
G1,G1_yaw310_pitch-020,310.0,-20.0,neural_confident_but_wrong,174.19,
G1,G1_yaw010_pitch-010,10.0,-10.0,neural_confident_but_wrong,158.74,
G1,G1_yaw240_pitch+030,240.0,30.0,neural_confident_but_wrong,179.45,
G1,G1_yaw335_pitch-070,335.0,-70.0,neural_confident_but_wrong,154.28,
G1,G1_yaw295_pitch+000,295.0,0.0,neural_confident_but_wrong,74.21,
G1,G1_yaw015_pitch+010,15.0,10.0,neural_confident_but_wrong,164.85,
G1,G1_yaw020_pitch-060,20.0,-60.0,neural_confident_but_wrong,158.92,
G1,G1_yaw095_pitch+005,95.0,5.0,neural_confident_but_wrong,80.17,
G1,G1_yaw020_pitch+085,20.0,85.0,neural_confident_but_wrong,150.31,
G1,G1_yaw095_pitch+050,95.0,50.0,neural_confident_but_wrong,68.97,
G1,G1_yaw325_pitch+055,325.0,55.0,neural_confident_but_wrong,119.39,
G1,G1_yaw185_pitch+000,185.0,0.0,neural_confident_but_wrong,54.75,
G1,G1_yaw095_pitch+040,95.0,40.0,neural_confident_but_wrong,43.72,
G1,G1_yaw100_pitch+075,100.0,75.0,neural_confident_but_wrong,115.26,
G1,G1_yaw025_pitch-065,25.0,-65.0,neural_confident_but_wrong,124.52,
G1,G1_yaw355_pitch-085,355.0,-85.0,neural_confident_but_wrong,148.81,
G1,G1_yaw270_pitch+035,270.0,35.0,neural_confident_but_wrong,86.19,
G1,G1_yaw010_pitch-080,10.0,-80.0,neural_confident_but_wrong,159.34,
G1,G1_yaw260_pitch+035,260.0,35.0,neural_confident_but_wrong,145.66,
G1,G1_yaw180_pitch-070,180.0,-70.0,neural_confident_but_wrong,53.92,
G1,G1_yaw280_pitch+055,280.0,55.0,neural_confident_but_wrong,60.69,
G1,G1_yaw105_pitch+075,105.0,75.0,neural_confident_but_wrong,135.91,
G1,G1_yaw340_pitch+075,340.0,75.0,neural_confident_but_wrong,110.23,
G1,G1_yaw305_pitch+010,305.0,10.0,neural_confident_but_wrong,90.35,
G1,G1_yaw220_pitch-030,220.0,-30.0,neural_confident_but_wrong,123.71,
G1,G1_yaw165_pitch+060,165.0,60.0,neural_confident_but_wrong,59.32,
G1,G1_yaw330_pitch-090,330.0,-90.0,neural_confident_but_wrong,94.4,
G1,G1_yaw090_pitch+085,90.0,85.0,neural_confident_but_wrong,79.9,
G1,G1_yaw345_pitch-040,345.0,-40.0,neural_confident_but_wrong,124.06,
G1,G1_yaw315_pitch-015,315.0,-15.0,neural_confident_but_wrong,83.86,
G1,G1_yaw105_pitch-025,105.0,-25.0,neural_confident_but_wrong,134.14,
G1,G1_yaw300_pitch-025,300.0,-25.0,neural_confident_but_wrong,85.18,
G1,G1_yaw195_pitch+040,195.0,40.0,neural_confident_but_wrong,45.81,
G1,G1_yaw330_pitch-070,330.0,-70.0,neural_confident_but_wrong,163.86,
G1,G1_yaw210_pitch-050,210.0,-50.0,neural_confident_but_wrong,38.86,
G1,G1_yaw210_pitch-060,210.0,-60.0,neural_confident_but_wrong,30.66,
G1,G1_yaw130_pitch-010,130.0,-10.0,neural_confident_but_wrong,50.54,
G1,G1_yaw330_pitch-045,330.0,-45.0,neural_confident_but_wrong,151.28,
G1,G1_yaw215_pitch+090,215.0,90.0,neural_confident_but_wrong,84.04,
G1,G1_yaw070_pitch-090,70.0,-90.0,neural_confident_but_wrong,50.29,
G1,G1_yaw265_pitch+085,265.0,85.0,neural_confident_but_wrong,113.87,
G1,G1_yaw265_pitch-075,265.0,-75.0,neural_confident_but_wrong,34.1,
G1,G1_yaw245_pitch+050,245.0,50.0,neural_confident_but_wrong,31.1,
G1,G1_yaw105_pitch-015,105.0,-15.0,neural_confident_but_wrong,124.41,
G1,G1_yaw295_pitch+090,295.0,90.0,neural_confident_but_wrong,61.08,
G1,G1_yaw010_pitch-040,10.0,-40.0,neural_confident_but_wrong,134.94,
G1,G1_yaw010_pitch+080,10.0,80.0,neural_confident_but_wrong,133.95,
G1,G1_yaw030_pitch-065,30.0,-65.0,neural_confident_but_wrong,85.58,
G1,G1_yaw325_pitch-090,325.0,-90.0,neural_confident_but_wrong,89.59,
