label,yaw,pitch,roll,ocs_total,src_pkg,region,category,json_ok,exr_ok,vsun_ok,geometry_eligible
yaw0600_pitchp0700_roll+015,60.0,70.0,15.0,0.03128576,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0600_roll+015,62.5,60.0,15.0,0.03040916,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0625_roll+015,62.5,62.5,15.0,0.03094376,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0650_roll+015,62.5,65.0,15.0,0.03163498,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0675_roll+015,62.5,67.5,15.0,0.03194300,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0700_roll+015,62.5,70.0,15.0,0.03266032,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0600_roll+015,65.0,60.0,15.0,0.03139416,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0625_roll+015,65.0,62.5,15.0,0.03221846,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0650_roll+015,65.0,65.0,15.0,0.03271301,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0675_roll+015,65.0,67.5,15.0,0.03350332,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0700_roll+015,65.0,70.0,15.0,0.03427288,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw1450_pitchp0100_roll+015,145.0,10.0,15.0,0.17131108,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0125_roll+015,145.0,12.5,15.0,0.18479021,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0150_roll+015,145.0,15.0,15.0,0.17529672,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0175_roll+015,145.0,17.5,15.0,0.14398035,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
