degrade_level,geom,select,record_id,yaw_true,pitch_true,neural_ocs_yaw_err,image_yaw_err,joint_yaw_err,pdb_yaw_err,pdb_margin,pdb_nearest_distance,pdb_cand_yaw_spread,hardcase_labels
clean,G3,best,G3_yaw095_pitch+025,95.0,25.0,31.036,4.036,9.893,5.0,2e-06,0.0,61.025,disagreement-hard
clean,G3,best,G3_yaw075_pitch-070,75.0,-70.0,166.437,3.914,0.586,0.0,1e-06,1e-06,87.5,disagreement-hard
clean,G3,best,G3_yaw180_pitch+015,180.0,15.0,10.592,13.542,2.708,95.0,0.0,0.0,60.01,disagreement-hard
clean,G3,best,G3_yaw295_pitch-085,295.0,-85.0,53.785,2.473,0.95,10.0,3e-06,2e-06,46.5,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw335_pitch-070,335.0,-70.0,9.895,3.226,1.388,0.0,1e-06,1e-06,4.359,robust-easy
clean,G3,best,G3_yaw165_pitch-005,165.0,-5.0,8.146,7.97,3.692,0.0,1e-06,0.0,13.748,robust-easy
clean,G3,best,G3_yaw295_pitch+000,295.0,0.0,125.723,0.932,0.864,20.0,1e-06,1e-06,66.588,disagreement-hard
clean,G3,best,G3_yaw170_pitch+060,170.0,60.0,115.925,13.155,0.122,0.0,0.0,0.0,69.009,disagreement-hard
clean,G3,best,G3_yaw120_pitch+075,120.0,75.0,35.954,0.963,0.444,15.0,0.0,0.0,78.869,disagreement-hard
clean,G3,best,G3_yaw320_pitch+020,320.0,20.0,35.913,1.312,2.757,0.0,1e-06,2e-06,0.0,disagreement-hard
clean,G3,best,G3_yaw230_pitch-035,230.0,-35.0,5.737,2.694,3.236,160.0,0.0,1e-06,67.084,disagreement-hard
clean,G3,best,G3_yaw160_pitch-055,160.0,-55.0,156.923,8.313,1.463,0.0,1e-06,0.0,49.5,disagreement-hard
clean,G3,best,G3_yaw145_pitch+090,145.0,90.0,5.135,12.802,2.831,10.0,1.2e-05,1.9e-05,5.0,robust-easy
clean,G3,best,G3_yaw150_pitch-075,150.0,-75.0,6.917,15.029,9.799,0.0,0.000365,0.000156,85.358,robust-easy
clean,G3,best,G3_yaw330_pitch-055,330.0,-55.0,7.194,2.062,3.822,0.0,3e-06,1e-06,0.0,robust-easy
clean,G3,best,G3_yaw095_pitch+050,95.0,50.0,12.197,0.939,2.237,0.0,1e-06,0.0,50.222,robust-easy
clean,G3,best,G3_yaw325_pitch+055,325.0,55.0,14.283,1.728,2.059,0.0,9e-06,3e-06,75.612,robust-easy
clean,G3,best,G3_yaw240_pitch+020,240.0,20.0,2.068,2.488,2.52,0.0,1e-06,0.0,2.291,robust-easy
clean,G3,best,G3_yaw130_pitch+050,130.0,50.0,6.892,7.665,0.361,0.0,1e-06,0.0,71.765,robust-easy
clean,G3,best,G3_yaw040_pitch-090,40.0,-90.0,11.027,5.216,2.311,0.0,2e-06,2e-06,0.0,robust-easy
clean,G3,best,G3_yaw065_pitch+075,65.0,75.0,175.135,2.807,2.436,175.0,0.0,2e-06,84.53,ocs-hard
clean,G3,best,G3_yaw320_pitch+075,320.0,75.0,13.061,4.965,0.218,0.0,0.00024,6e-06,58.781,robust-easy
clean,G3,best,G3_yaw335_pitch-085,335.0,-85.0,8.805,4.048,2.026,10.0,2e-06,2e-05,4.472,robust-easy
clean,G3,best,G3_yaw310_pitch+005,310.0,5.0,94.273,2.106,1.526,180.0,0.0,2e-06,77.668,ocs-hard
clean,G3,best,G3_yaw305_pitch+025,305.0,25.0,12.244,2.711,2.37,180.0,0.0,1e-06,87.785,disagreement-hard
clean,G3,best,G3_yaw145_pitch+000,145.0,0.0,42.314,13.987,1.117,0.0,7.1e-05,6e-06,67.639,disagreement-hard
clean,G3,best,G3_yaw335_pitch-020,335.0,-20.0,41.593,3.71,3.185,0.0,1.3e-05,3e-06,35.316,disagreement-hard
clean,G3,best,G3_yaw265_pitch-090,265.0,-90.0,25.239,18.275,6.003,40.0,0.0,1e-06,86.21,disagreement-hard
clean,G3,best,G3_yaw110_pitch+020,110.0,20.0,98.637,2.868,4.153,0.0,3e-06,4e-06,88.034,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw005_pitch+055,5.0,55.0,3.619,5.137,1.089,0.0,1e-06,0.0,80.256,robust-easy
clean,G3,best,G3_yaw125_pitch+035,125.0,35.0,53.896,5.859,0.422,0.0,0.0,1e-06,89.017,disagreement-hard
clean,G3,best,G3_yaw275_pitch+020,275.0,20.0,33.11,2.425,1.076,5.0,0.0,0.0,77.623,disagreement-hard
clean,G3,best,G3_yaw065_pitch-075,65.0,-75.0,4.923,5.85,1.022,170.0,5e-06,1e-06,84.53,disagreement-hard
clean,G3,best,G3_yaw270_pitch+070,270.0,70.0,119.993,4.731,1.996,0.0,1e-06,0.0,76.976,disagreement-hard
clean,G3,best,G3_yaw325_pitch+090,325.0,90.0,69.59,6.75,6.608,165.0,1e-06,4e-06,60.712,ocs-hard
