yaw,pitch,roll,ocs_no_occ,ocs_with_occ,occlusion_ratio,visible_faces_no_occ,visible_faces_with_occ,ocs_no_occ_jinshuzhuti,ocs_no_occ_taiyangnengban,ocs_no_occ_yinshenban,ocs_with_occ_jinshuzhuti,ocs_with_occ_taiyangnengban,ocs_with_occ_yinshenban,visible_faces_no_occ_jinshuzhuti,visible_faces_no_occ_taiyangnengban,visible_faces_no_occ_yinshenban,visible_faces_with_occ_jinshuzhuti,visible_faces_with_occ_taiyangnengban,visible_faces_with_occ_yinshenban
10.0,-75.0,0.0,0.044000225812212926,0.011852504146073537,0.7306262882227369,32341,5675,0.013366073192183732,0.030253024272278196,0.00038112834775099597,0.0016254220791303271,0.009980630024580703,0.00024645204236250633,30485,1423,433,5163,439,73
10.0,-70.0,0.0,0.036521924834344466,0.010813635659624593,0.703913862462811,33199,5042,0.006289253688694052,0.029912905103436253,0.0003197660422141641,0.0009994567386949144,0.009598803885134052,0.0002153750357956268,31621,1388,190,4629,390,23
10.0,-65.0,0.0,0.036241175958791685,0.010051661571638133,0.7226452700357335,33494,4725,0.0068151565612695544,0.02908589336275966,0.0003401260347624679,0.0005459190099384688,0.00928165288362506,0.00022408967807460405,31924,1378,192,4327,376,22
10.0,-60.0,0.0,0.03169652517863467,0.009691253625782973,0.6942487048291511,33542,4665,0.0035169927617753486,0.02781772163037556,0.0003618107864837665,0.0005378170628578348,0.008911224776861418,0.00024221178606372007,32005,1355,182,4269,374,22
10.0,-55.0,0.0,0.029127811173780292,0.009339984898395586,0.6793447731904046,33604,4731,0.0025652475747658275,0.026177863076721798,0.0003847005222926658,0.0006553032867222133,0.008416812548014655,0.0002678690636587176,32056,1361,187,4338,370,23
10.0,-50.0,0.0,0.027014758229664204,0.00883117007071026,0.6730983118326419,33806,4719,0.002372565090478558,0.024233565524110517,0.00040862761507512945,0.0007480131828263698,0.0078088611542464015,0.0002742957336374879,32241,1380,185,4338,360,21
10.0,-45.0,0.0,0.024656892613264748,0.007946017557687705,0.67773645761782,33745,4605,0.002174462605940476,0.022049204630684292,0.00043322537663997705,0.0005323523420183685,0.007113138069640772,0.00030052714602856373,32156,1403,186,4238,343,24
10.0,-40.0,0.0,0.022612662500891192,0.007668641982079165,0.6608695689073795,33833,4628,0.0024661457292746067,0.01968825088104216,0.00045826589057442607,0.000977706828233228,0.006352289411351974,0.0003386457424939637,32232,1416,185,4275,329,24
10.0,-35.0,0.0,0.020604332081065213,0.006915692978050666,0.6643573326792773,34010,4664,0.0029046619411695605,0.017216212443932025,0.00048345769596362697,0.001275764583455035,0.005283356133071643,0.0003565722615239884,32403,1416,191,4314,325,25
10.0,-30.0,0.0,0.02566020176903157,0.01402885831813234,0.45328339798702233,34038,4740,0.010449744938658963,0.014701867650636032,0.0005085891797365754,0.009207357961033382,0.004441792791637482,0.0003797075654614739,32421,1426,191,4396,321,23
10.0,-25.0,0.0,0.015677441290676584,0.005944516708291311,0.6208235388623952,34026,4785,0.002927857822216098,0.012216148559670967,0.0005334349087895191,0.0018050537128044488,0.0037369524208844328,0.00040251057460243006,32398,1431,197,4444,318,23
10.0,-20.0,0.0,0.012976951427957031,0.004428950762100301,0.6587063774810203,33734,4781,0.0025890239981866425,0.00983047773460535,0.0005574496951650394,0.0008759881642721816,0.0031284088100260073,0.0004245537878021117,32109,1430,195,4439,316,26
10.0,-15.0,0.0,0.013494328333310284,0.005193542033330795,0.6151314904269287,33750,4680,0.0052995688151269045,0.007614852062441957,0.0005799074557414237,0.0022681034695381805,0.0024807691182514207,0.00044466944554119386,32129,1425,196,4361,296,23
10.0,-10.0,0.0,0.015087341135980445,0.006660718639684566,0.5585226992846329,33618,4426,0.008851443450206695,0.005635731543483586,0.0006001661422901629,0.004293136476624047,0.0019046476359301922,0.00046293452713032693,32003,1419,196,4121,282,23
10.0,-5.0,0.0,0.009502885739598885,0.00363019597094839,0.6179901484218393,33381,4384,0.004932548796257893,0.003952697632526108,0.0006176393108148833,0.0016898531697514484,0.0014451389652799158,0.0004952038359170258,31765,1419,197,4090,270,24
10.0,0.0,0.0,0.012192774346678797,0.0047148855785596935,0.6133049423781072,33183,4382,0.008947581350545648,0.0026133736696109943,0.0006318193265221547,0.0031705813205484277,0.0010357409455536161,0.0005085633124576497,31565,1421,197,4106,252,24
10.0,5.0,0.0,0.042835234508953116,0.018823476770800766,0.5605609030372785,33070,4298,0.04054190018122397,0.0016510369316173324,0.0006422973961118068,0.01766685549079691,0.0006384204444204028,0.000518200835583454,31464,1413,193,4050,224,24
10.0,10.0,0.0,0.06275790776114772,0.010646525023244365,0.8303556411764983,32126,4494,0.061029080929389634,0.0010799089247123857,0.0006489179070456984,0.009673139475571463,0.00044949911167138423,0.000523886436001518,30634,1298,194,4202,268,24
10.0,15.0,0.0,0.06764766906574955,0.027999116097220705,0.5861037566570518,23362,3187,0.06599648253380902,0.0009988208376257618,0.0006523656943147765,0.02705342991230406,0.0004195525403646692,0.0005261336445519764,22695,509,158,3123,50,14
10.0,20.0,0.0,0.03501453650426225,0.019613507110950057,0.4398467302697968,32392,4129,0.033102043554772025,0.0012616005108115622,0.0006508924386786605,0.01856409371414463,0.000526693494730544,0.0005227199020748843,30871,1326,195,3744,366,19
10.0,25.0,0.0,0.028476086973241957,0.014891618806024767,0.47704827492562685,32915,3978,0.02583677334431648,0.0019933711565476185,0.0006459424723778595,0.01351934931776029,0.0008582669585592689,0.0005140025297052085,31377,1344,194,3630,329,19
10.0,30.0,0.0,0.018013903184203983,0.0043373514058212825,0.759222009718326,33123,4067,0.014266609779278835,0.0031105042548716672,0.0006367891500534831,0.0025074930325885507,0.0013299017968662332,0.0004999565763664983,31600,1325,198,3714,334,19
10.0,35.0,0.0,0.011958252802652308,0.003723406038849083,0.6886329382480323,33336,4208,0.006740500889973895,0.004594019043858399,0.000623732868820015,0.0013765279814650826,0.0018654934059291863,0.0004813846514548142,31827,1313,196,3855,332,21
10.0,40.0,0.0,0.013424958965123135,0.0035844318135470057,0.7330024007627103,33589,4230,0.006414550919575047,0.0064031893359384855,0.0006072187096096041,0.0008046130967468352,0.0023219269454193684,0.00045789177138080215,32081,1312,196,3878,333,19
10.0,45.0,0.0,0.04571409356580801,0.003876627386664228,0.9151984194746505,33695,4253,0.03664272988392979,0.008483581899089238,0.0005877817827889846,0.0004641219416496649,0.003000112461538483,0.00041239298347608007,32189,1309,197,3896,337,20
10.0,50.0,0.0,0.02145517893246185,0.004463904850542577,0.7919427815263449,33585,4236,0.010116151315760212,0.0107730698047756,0.0005659578119260405,0.00033065723172406625,0.0037464051504312477,0.0003868424683872633,32080,1309,196,3876,339,21
10.0,55.0,0.0,0.019636716232538782,0.005111121177574053,0.7397160952448489,33757,4181,0.005890285581222496,0.013204067204751056,0.0005423634465652297,0.00023906052496613798,0.004539212693722687,0.0003328479588852277,32253,1308,196,3822,341,18
10.0,60.0,0.0,0.01869983199098606,0.005852343563718763,0.6870376393467179,33821,4133,0.0024766797119702257,0.015705578634142542,0.0005175736448732931,0.00019629043946787166,0.005354943254789639,0.00030110986946125205,32326,1300,195,3774,342,17
10.0,65.0,0.0,0.020761290927360544,0.0066470206462616995,0.6798358700565275,33706,3868,0.002063462619713624,0.01820567017925491,0.0004921581283920133,0.00020490966201728761,0.006170012746417183,0.0002720982378272285,32211,1299,196,3510,342,16
10.0,70.0,0.0,0.023988607197375722,0.007500292252418641,0.6873394027962094,33628,3770,0.002888305684819503,0.020633716805713097,0.00046658470684312237,0.0002246943122494695,0.007010328689459715,0.0002652692507094567,32136,1299,193,3411,344,15
10.0,75.0,0.0,0.029167862346406684,0.008308989513535692,0.7151320376222459,33507,3725,0.005804226754364901,0.022922388835463887,0.0004412467565778976,0.00032416750847889586,0.007746417315715194,0.0002384046893416021,32031,1294,182,3369,342,14
10.0,80.0,0.0,0.03238709035884573,0.009886523784407476,0.6947387469863524,33474,3683,0.006962297707377351,0.025008274720662804,0.00041651793080557653,0.001236059533255816,0.008416748027996343,0.00023371622315531733,31993,1292,189,3327,340,16
